"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","Pt"
"*042vx*","Filip Hronek","VAN","D","160","LHB","Active","28","@EDM Thu 7:00PM","49","0.6","67%","-14%","81","49"
"*0042t*","Claude Giroux","OTT","LW,RW","158","ADB","Active","38","","49","0.6","40%","-8%","82","49"
"*02b3o*","Rickard Rakell","PIT","LW,RW","170","PSK","Active","32","","48","0.8","67%","-15%","60","48"
"*04lo0*","Quinton Byfield","LAK","C,LW","165","UPI","Reserve","23","@CGY Thu 7:00PM","48","0.62","67%","-10%","78","48"
"*02ybk*","Artturi Lehkonen","COL","LW","167","TT","Active","30","SEA Thu 8:00PM","48","0.7","62%","-12%","69","48"
"*03raf*","Brock Boeser","VAN","LW,RW","164","ADB","Reserve","29","@EDM Thu 7:00PM","48","0.65","51%","-8%","74","48"
"*02wy3*","Elias Lindholm","BOS","C","168","GRN","Reserve","31","","48","0.7","50%","-11%","69","48"
"*04ld3*","Noah Dobson","MTL","D","174","JS","Active","26","","47","0.59","80%","-16%","80","47"
"*02ybl*","Valeri Nichushkin","COL","LW,RW","175","GRN","Reserve","31","SEA Thu 8:00PM","47","0.66","66%","-11%","71","47"
"*04zj5*","JJ Peterka","UTA","LW,RW","182","TPA","Active","24","STL Thu 5:30PM","46","0.57","60%","-10%","81","46"
"*04yn0*","Connor McMichael","WSH","C,LW","181","ADB","Active","25","","46","0.59","42%","-8%","78","46"
"*01ex7*","Matt Duchene","DAL","C,RW","184","GRN","Active","35","","45","0.79","61%","-12%","57","45"
"*042vl*","Jordan Kyrou","STL","RW","186","PSK","Active","27","@UTA Thu 5:30PM","45","0.63","59%","-10%","71","45"
"*0644f*","Ryan Leonard","WSH","RW","187","GG","Reserve","21","","45","0.6","53%","-11%","75","45"
"*05uao*","Collin Graf","SJS","LW,RW","185","TPA","Reserve","23","@WPG Thu 6:00PM","45","0.56","27%","-7%","80","45"
"*03rf8*","Vince Dunn","SEA","D","192","TT","Active","29","@COL Thu 8:00PM","44","0.55","77%","-14%","80","44"
"*03rf2*","Roope Hintz","DAL","C","193","TT","Active","29","","44","0.83","72%","-14%","53","44"
"*03ra8*","Timo Meier","NJD","LW,RW","197","TT","Active","29","","44","0.57","68%","-14%","77","44"
"*04yqp*","Anton Lundell","FLA","C","196","PSK","Reserve","24","","44","0.69","55%","-12%","64","44"
"*05rf2*","Logan Stankoven","CAR","C,RW","198","MC","Active","23","","44","0.54","50%","-8%","81","44"
"*05ran*","Matt Coronato","CGY","RW","190","GG","Reserve","23","LAK Thu 7:00PM","44","0.56","37%","-7%","79","44"
"*05ui2*","Logan Cooley","UTA","C","203","PA","Reserve","21","STL Thu 5:30PM","43","0.81","78%","-14%","53","43"
"*05ylt*","Zach Benson","BUF","LW","201","FZ","Reserve","20","","43","0.66","40%","-7%","65","43"
"*04ldb*","Bowen Byram","BUF","D","209","GG","Active","24","","42","0.51","59%","-12%","82","42"
"*03rab*","Jake DeBrusk","VAN","LW,RW","211","ADB","Active","29","@EDM Thu 7:00PM","42","0.53","36%","-5%","80","42"
"*051xf*","Egor Chinakhov","PIT","LW,RW","210","JS","Reserve","25","","42","0.58","30%","-10%","72","42"
"*05m17*","Frank Nazar","CHI","C,RW","221","FZ","Active","22","","41","0.62","55%","-10%","66","41"
"*04zp9*","Mavrik Bourque","DAL","C,RW","218","GG","Active","24","","41","0.5","29%","-5%","82","41"
"*04znw*","Brandt Clarke","LAK","D","223","FZ","Active","23","@CGY Thu 7:00PM","40","0.49","75%","-14%","81","40"
"*03dms*","Kevin Fiala","LAK","LW,RW","225","TT","Active","29","@CGY Thu 7:00PM","40","0.71","62%","-10%","56","40"
"*05gd8*","Mason McTavish","ANA","C","230","FZ","Reserve","23","@NSH Thu 6:00PM","40","0.54","57%","-9%","74","40"
"*031nx*","Shea Theodore","VGK","D","235","ADB","Active","30","","39","0.56","77%","-14%","70","39"
"*01f3d*","Oliver Ekman-Larsson","TOR","D","231","ADB","Active","34","","39","0.5","53%","-11%","78","39"
"*051u2*","Matias Maccelli","TOR","LW","233","JS","Reserve","25","","39","0.55","23%","-4%","71","39"
"*02azf*","Dougie Hamilton","NJD","D","239","KR","Active","32","","38","0.49","72%","-15%","77","38"
"*05kbn*","Will Cuylle","NYR","LW,RW","236","GRN","Reserve","24","","38","0.46","54%","-11%","82","38"
"*01skr*","Mikael Granlund","ANA","C,RW","238","KR","Active","34","@NSH Thu 6:00PM","38","0.67","41%","-8%","57","38"
"*02noq*","Mike Matheson","MTL","D","245","TT","Active","32","","37","0.47","64%","-13%","78","37"
"*04qve*","K'Andre Miller","CAR","D","246","TT","Reserve","26","","37","0.51","48%","-11%","72","37"
"*05tcz*","Oliver Kapanen","MTL","C","244","LHB","Reserve","22","","37","0.45","33%","-8%","82","37"
"*04yu5*","Thomas Harley","DAL","D","255","UPI","Active","24","","36","0.51","79%","-14%","70","36"
"*02noe*","Morgan Rielly","TOR","D","259","ADB","Active","32","","36","0.46","70%","-12%","78","36"
"*059e5*","Jake Neighbours","STL","LW,RW","258","ADB","Reserve","24","@UTA Thu 5:30PM","36","0.53","41%","-7%","68","36"
"*03rag*","Jack Roslovic","EDM","C,RW","260","ADB","Reserve","29","VAN Thu 7:00PM","36","0.53","23%","-4%","68","36"
"*04ymn*","Luke Hughes","NJD","D","269","PA","Active","22","","35","0.51","72%","-16%","68","35"
"*04o0g*","Marco Rossi","VAN","C","277","MC","Active","24","@EDM Thu 7:00PM","35","0.71","50%","-8%","49","35"
"*03dug*","Tony DeAngelo","NYI","D","266","GRN","Reserve","30","","35","0.46","46%","-9%","76","35"
"*06snb*","Benjamin Kindel","PIT","C,RW","271","UPI","Reserve","18","","35","0.45","33%","-8%","77","35"
"*05yn2*","Fraser Minten","BOS","C,LW","274","UPI","Active","21","","35","0.43","31%","-8%","82","35"
"*05kdw*","Ridly Greig","OTT","C,LW,RW","268","ADB","Reserve","23","","35","0.45","21%","-5%","77","35"
"*059e2*","Justin Sourdif","WSH","C","280","TPA","Reserve","24","","35","0.45","18%","-6%","78","35"
"*03rip*","John Marino","UTA","D","273","KR","Reserve","28","STL Thu 5:30PM","35","0.44","16%","-3%","79","35"
"*03uzr*","Matthew Tkachuk","FLA","RW","290","FZ","Active","28","","34","1.1","79%","-16%","31","34"
"*04dwk*","Josh Norris","BUF","C","288","GRN","Reserve","26","","34","0.77","48%","-10%","44","34"
"*04mq0*","Matt Savoie","EDM","C,RW","289","JS","Reserve","22","VAN Thu 7:00PM","34","0.42","34%","-8%","81","34"
"*05lu8*","Alexander Nikishin","CAR","D","300","PA","Reserve","24","","33","0.41","72%","-14%","81","33"
"*05gd7*","Cole Sillinger","CBJ","C,LW","301","PSK","Active","22","","33","0.41","17%","-4%","81","33"
"*03de2*","Brandon Montour","SEA","D","312","PSK","Active","32","@COL Thu 8:00PM","32","0.51","75%","-14%","63","32"
"*0243f*","Seth Jones","FLA","D","309","KR","Reserve","31","","32","0.62","66%","-15%","52","32"
"*04yu6*","Jamie Drysdale","PHI","D","307","UPI","Active","24","","32","0.41","43%","-8%","78","32"
