"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","Pt"
"*02un4*","Connor McDavid","EDM","C","1","PSK","Active","29","VAN Thu 7:00PM","134","1.65","85%","-15%","81","134"
"*02b70*","Nikita Kucherov","TBL","RW","2","LHB","Active","32","","130","1.71","85%","-15%","76","130"
"*02f9l*","Nathan MacKinnon","COL","C","3","TPA","Active","30","SEA Thu 8:00PM","127","1.59","85%","-15%","80","127"
"*05w9c*","Macklin Celebrini","SJS","C","4","FZ","Reserve","19","@WPG Thu 6:00PM","112","1.38","85%","-15%","81","112"
"*02azb*","Mark Scheifele","WPG","C","5","KR","Active","33","SJS Thu 6:00PM","103","1.27","85%","-15%","81","103"
"*048xc*","Nick Suzuki","MTL","C","6","LHB","Active","26","","101","1.23","85%","-15%","82","101"
"*03d12*","David Pastrnak","BOS","RW","8","GRN","Active","29","","100","1.3","85%","-15%","77","100"
"*049k7*","Martin Necas","COL","RW","7","TPA","Active","27","SEA Thu 8:00PM","100","1.28","85%","-15%","78","100"
"*02yjl*","Leon Draisaitl","EDM","C,LW","9","GRN","Active","30","VAN Thu 7:00PM","97","1.49","80%","-14%","65","97"
"*04dwj*","Jason Robertson","DAL","LW","10","PA","Active","26","","96","1.17","85%","-15%","82","96"
"*04lc0*","Evan Bouchard","EDM","D","11","GRN","Active","26","VAN Thu 7:00PM","92","1.14","85%","-15%","81","92"
"*03kra*","Kyle Connor","WPG","LW","12","UPI","Active","29","SJS Thu 6:00PM","92","1.14","84%","-15%","81","92"
"*03924*","Jack Eichel","VGK","C","13","GRN","Active","29","","90","1.22","85%","-15%","74","90"
"*03rh3*","Kirill Kaprizov","MIN","LW","14","JS","Active","28","","89","1.14","84%","-15%","78","89"
"*04mv2*","Cole Caufield","MTL","LW","15","ADB","Active","25","","88","1.09","85%","-15%","81","88"
"*031p0*","Jake Guentzel","TBL","LW,RW","16","GRN","Active","31","","88","1.09","85%","-15%","81","88"
"*05tqt*","Wyatt Johnston","DAL","C,RW","17","PA","Active","22","","86","1.05","85%","-15%","82","86"
"*03mn8*","Clayton Keller","UTA","LW","18","LHB","Active","27","STL Thu 5:30PM","86","1.06","84%","-15%","81","86"
"*04xec*","Matt Boldy","MIN","LW,RW","19","PA","Active","25","","85","1.12","84%","-15%","76","85"
"*03v70*","Alex DeBrincat","DET","LW","20","TPA","Active","28","","85","1.04","84%","-15%","82","85"
"*03bfj*","Artemi Panarin","LAK","LW","21","LHB","Active","34","@CGY Thu 7:00PM","84","1.09","83%","-15%","77","84"
"*051z0*","Tim Stutzle","OTT","C,LW","22","PA","Reserve","24","","83","1.04","84%","-15%","80","83"
"*042t5*","Tage Thompson","BUF","C,RW","24","GG","Active","28","","81","1","85%","-15%","81","81"
"*03ra7*","Zach Werenski","CBJ","D","25","UPI","Active","28","","81","1.08","85%","-15%","75","81"
"*03rmx*","Sebastian Aho","CAR","C","26","GRN","Active","28","","80","1.01","84%","-15%","79","80"
"*03jvu*","Mitch Marner","VGK","C,LW,RW","27","ADB","Active","28","","80","0.99","83%","-15%","81","80"
"*02yjj*","William Nylander","TOR","RW","29","JS","Active","29","","79","1.22","83%","-15%","65","79"
"*04alw*","Cale Makar","COL","D","31","JS","Active","27","SEA Thu 8:00PM","78","1.05","85%","-15%","74","78"
"*05wwg*","Lane Hutson","MTL","D","30","LHB","Active","22","","78","0.95","85%","-15%","82","78"
"*027i6*","Mika Zibanejad","NYR","C,RW","33","JS","Active","32","","78","0.96","81%","-15%","81","78"
"*04bdb*","Jack Hughes","NJD","C,LW","34","UPI","Active","24","","77","1.26","84%","-15%","61","77"
"*03mn9*","Mikko Rantanen","DAL","RW","35","TT","Active","29","","77","1.2","84%","-15%","64","77"
"*04lbz*","Quinn Hughes","MIN","D","36","TT","Active","26","","76","1.03","85%","-15%","74","76"
"*04ymt*","Lucas Raymond","DET","RW","37","PA","Active","24","","76","0.95","83%","-15%","80","76"
"*04y4m*","Connor Bedard","CHI","C","38","GG","Reserve","20","","75","1.09","85%","-15%","69","75"
"*00454*","Sidney Crosby","PIT","C","39","PA","Active","38","","74","1.09","84%","-15%","68","74"
"*04ad7*","Rasmus Dahlin","BUF","D","40","LHB","Active","26","","74","0.96","84%","-15%","77","74"
"*042yb*","Brandon Hagel","TBL","LW","41","UPI","Active","27","","74","1.04","84%","-15%","71","74"
"*02unz*","Nick Schmaltz","UTA","C,RW","42","TPA","Active","30","STL Thu 5:30PM","74","0.91","76%","-15%","81","74"
"*03e1n*","Adrian Kempe","LAK","RW","45","ADB","Active","29","@CGY Thu 7:00PM","73","0.91","85%","-15%","80","73"
"*04o0h*","Dylan Guenther","UTA","RW","44","FZ","Active","23","STL Thu 5:30PM","73","0.92","84%","-15%","79","73"
"*02fzm*","Filip Forsberg","NSH","LW","43","JS","Active","31","ANA Thu 6:00PM","73","0.9","83%","-15%","81","73"
"*05r1c*","Juraj Slafkovsky","MTL","LW,RW","47","LHB","Active","22","","73","0.89","82%","-15%","82","73"
"*01zvf*","Mark Stone","VGK","RW","48","UPI","Reserve","33","","73","1.22","80%","-14%","60","73"
"*01f6d*","Ryan O'Reilly","NSH","C","46","LHB","Active","35","ANA Thu 6:00PM","73","0.91","67%","-14%","80","73"
"*02uws*","Mathew Barzal","NYI","C,RW","49","LHB","Active","28","","72","0.89","76%","-14%","81","72"
"*01c12*","John Tavares","TOR","C","54","TT","Reserve","35","","71","0.87","83%","-15%","82","71"
"*04f2d*","Drake Batherson","OTT","LW,RW","51","TT","Active","27","","71","0.9","82%","-15%","79","71"
"*042ye*","Jesper Bratt","NJD","RW","52","GG","Active","27","","71","0.87","81%","-15%","82","71"
"*03as8*","Nikolaj Ehlers","CAR","LW,RW","53","GRN","Active","30","","71","0.87","76%","-14%","82","71"
"*048vf*","Andrei Svechnikov","CAR","LW,RW","56","GG","Active","26","","70","0.89","80%","-15%","79","70"
"*03klz*","Darren Raddysh","TBL","D","55","JS","Active","30","","70","0.96","73%","-15%","73","70"
"*03w5m*","Gabriel Vilardi","WPG","RW","58","FZ","Reserve","26","SJS Thu 6:00PM","69","0.85","75%","-13%","81","69"
"*05rjd*","Cutter Gauthier","ANA","LW,RW","59","MC","Active","22","@NSH Thu 6:00PM","68","0.91","82%","-15%","75","68"
"*038vb*","Travis Konecny","PHI","RW","61","UPI","Active","29","","68","0.88","81%","-15%","77","68"
"*04a9v*","Morgan Geekie","BOS","C,LW,RW","60","GG","Active","27","","68","0.84","79%","-15%","81","68"
"*04qy5*","Kirill Marchenko","CBJ","RW","63","PA","Active","25","","67","0.88","84%","-15%","76","67"
"*03duf*","Dylan Larkin","DET","C","62","ADB","Active","29","","67","0.91","83%","-15%","74","67"
"*04y8g*","Trevor Zegras","PHI","C,LW","64","PA","Active","25","","67","0.83","75%","-14%","81","67"
"*05gvq*","Seth Jarvis","CAR","RW","69","PA","Active","24","","66","0.93","84%","-15%","71","66"
"*03d09*","Alex Tuch","BUF","RW","73","JS","Active","29","","66","0.84","83%","-15%","79","66"
"*0457f*","Nico Hischier","NJD","C","68","TT","Active","27","","66","0.8","81%","-15%","82","66"
"*05tur*","Matthew Knies","TOR","LW","71","KR","Active","23","","66","0.84","81%","-15%","79","66"
"*05y3a*","Leo Carlsson","ANA","C","66","PA","Active","21","@NSH Thu 6:00PM","66","0.96","80%","-15%","69","66"
"*016g3*","Erik Karlsson","PIT","D","70","LHB","Active","35","","66","0.88","77%","-15%","75","66"
"*01zvp*","Bryan Rust","PIT","RW","76","TT","Reserve","33","","65","0.9","75%","-15%","72","65"
"*03l0t*","Pavel Zacha","BOS","C,LW","77","KR","Active","29","","65","0.83","58%","-15%","78","65"
"*04zo0*","Pavel Dorofeyev","VGK","LW,RW","78","LHB","Reserve","25","","64","0.78","80%","-14%","82","64"
"*004cq*","Alex Ovechkin","WSH","LW,RW","81","TPA","Reserve","40","","64","0.78","79%","-15%","82","64"
"*04an5*","Miro Heiskanen","DAL","D","82","FZ","Active","26","","63","0.82","82%","-17%","77","63"
"*00qru*","Steven Stamkos","NSH","C,LW,RW","83","LHB","Active","36","ANA Thu 6:00PM","63","0.78","74%","-15%","81","63"
"*02noj*","Tom Wilson","WSH","RW","87","KR","Active","32","","62","0.86","79%","-15%","72","62"
"*064r2*","Ivan Demidov","MTL","RW","85","MC","Reserve","20","","62","0.76","78%","-14%","82","62"
"*03wpm*","Charlie McAvoy","BOS","D","90","GRN","Active","28","","61","0.88","80%","-16%","69","61"
"*02un5*","Sam Reinhart","FLA","RW","91","PSK","Active","30","","61","0.95","80%","-15%","64","61"
